lable,species,order,order,age-class,animal origin,year,year class
A009,Iguana Iguana,Squamata,Squamata,Adult,Not Given,1965,1961-1970
A011,Bassiana duperreyi,Squamata,Squamata,Hatchlings,Captive,2014,2011-now
A012,Bassiana duperreyi,Squamata,Squamata,Hatchlings,Captive,2012,2011-now
A029,Chrysemys picta,Testudines,Testudines,Adult,Not Given,1995,1991-2000
A037,Lampropholis delicata,Squamata,Squamata,Adult,Wild,2014,2011-now
A037,Lampropholis guichenoti,Squamata,NA,Adult,Wild,2014,2011-now
A038,Chrysemys picta,Testudines,Testudines,Adult,Not Given,1989,1981-1990
A042,Terrapene spp.,Testudines,Testudines,NA,Not Given,1976,1971-1980
A047,Eulamprus quoyii,Squamata,Squamata,Adult,Wild,2014,2011-now
A050,Bassiana duperreyi,Squamata,Squamata,Hatchlings,Captive,2014,2011-now
A051,Chrysemys picta,Testudines,Testudines,Adult,Not Given,1983,1981-1990
A053,Alligator mississippiensis,Crocodilia,Crocodilia,Juvenile,Not Given,1966,1961-1970
A054,Alligator mississippiensis,Crocodilia,Crocodilia,Juvenile,Not Given,1966,1961-1970
A055,Pseudemys nelsoni,Testudines,Testudines,Adult,Captive,2011,2011-now
A056,Pseudemys nelsoni,Testudines,Testudines,Adult,Captive,2012,2011-now
A058,Acanthodactylus boskianus,Squamata,Squamata,Adult,Wild,1999,1991-2000
A058,Acanthodactylus scutellatus,Squamata,NA,Adult,Wild,1999,1991-2000
A059,Cnemidophorus inornatus,Squamata,Squamata,Adult,Wild,2001,2001-2010
A060,Cnemidophorus inornatus,Squamata,Squamata,Adult,Wild,2003,2001-2010
A066,Python molurus bivittatus,Squamata,Squamata,Mixed,Mixed,2015,2011-now
A072 ,Varanus rudicollis,Squamata,Squamata,Adult,Not Given,2011,2011-now
A074 ,Alligator mississippiensis,Crocodilia,Crocodilia,Subadult,Captive,1969,1961-1970
A074 ,Crocodilus Americanus,Crocodilia,NA,Subadult,Not Given,1969,1961-1970
A076,Chrysemys picta,Testudines,Testudines,Adult,Not Given,1989,1981-1990
A077,Chrysemys picta,Testudines,Testudines,Adult,Not Given,1990,1981-1990
A079,Chrysemys picta,Testudines,Testudines,Adult,Not Given,1966,1961-1970
A080,Elaphe guttata guttata,Squamata,Squamata,Juvenile,Captive,1999,1991-2000
A081,Mauremys reevesii,Testudines,Testudines,Adult,Not Given,1997,1991-2000
A085,Chrysemys picta,Testudines,Testudines,Adult,Captive,1965,1961-1970
A086,Pogona vitticeps,Squamata,Squamata,Adult,Captive,2015,2011-now
A089,Anolis evermanni,Squamata,Squamata,Adult,Wild,2012,2011-now
A091,Varanus bengalensis ,Squamata,Squamata,Juvenile,Wild,1976,1971-1980
A092,Trachemys scripta,Testudines,Testudines,Juvenile,Not Given,2003,2001-2010
A093,Trachemys scripta,Testudines,Testudines,Juvenile,Not Given,2000,1991-2000
A094,Trachemys scripta,Testudines,Testudines,Juvenile,Not Given,2003,2001-2010
A096 ,Varanus albigularis albigularis,Squamata,Squamata,Juvenile,Captive,2008,2001-2010
A097,Timon lepidus,Squamata,Squamata,Adult/Subadult,Captive,2012,2011-now
A099,Eulamprus quoyii,Squamata,Squamata,Adult,Wild,2014,2011-now
A100,Eulamprus quoyii,Squamata,Squamata,Adult,Wild,2012,2011-now
A101,Sphenodon punctatus,Rhynchocephalia,Rhynchocephalia,Adult,Wild,1973,1971-1980
A103,Mauremys reevesii,Testudines,Testudines,Adult,Not Given,1994,1991-2000
A104,Basiliscus vitattus,Squamata,Squamata,Subadult,Not Given,2004,2001-2010
A104,Basiliscus basiliscus,Squamata,NA,Subadult,Not Given,2004,2001-2010
A104,Eumeces schneideri,Squamata,NA,Subadult,Not Given,2004,2001-2010
A104,Mabuya mutifasciata,Squamata,NA,Subadult,Not Given,2004,2001-2010
A105,Scincella lateralis,Squamata,Squamata,Adult,Wild,2008,2001-2010
A107,Podarcis lilfordi,Squamata,Squamata,Adult,Wild,2015,2011-now
A108,Chrysemys picta,Testudines,Testudines,Adult,Not Given,1994,1991-2000
A110,Tiliqua sincoides scincoides,Squamata,Squamata,Adult/Subadult,Mixed,2011,2011-now
A110,Tiliqua scincoides intermedia,Squamata,NA,Adult/Subadult,Mixed,2011,2011-now
A111,Sceloporus poinsettii,Squamata,Squamata,Adult,Captive,2002,2001-2010
A112,Chrysemys picta,Testudines,Testudines,Not Given,Not Given,1980,1971-1980
A112,Chrysemys picta,Testudines,Testudines,NA,Captive,1980,1971-1980
A113,Chrysemys picta,Testudines,Testudines,Adult,Not Given,1983,1981-1990
A114,Chrysemys picta picta,Testudines,Testudines,Adult,Not Given,1978,1971-1980
A114,Chrysemys picta picta,Testudines,Testudines,Adult,Not Given,1978,1971-1980
A115,Sceloporus undulatus,Squamata,Squamata,Juvenile,Wild,2013,2011-now
A117,Chrysemys picta,Testudines,Testudines,Adults/Juveniles,Mixed,2015,2011-now
A118,Cnemidophorus murinus,Squamata,Squamata,Adult,Wild,2000,1991-2000
A119,Anolis cristatellus,Squamata,Squamata,Adult/Subadult,Wild,1995,1991-2000
A121,Calotes versicolor,Squamata,Squamata,Hatchlings,Captive,2010,2001-2010
A122,Crocodylus johnstoni,Crocodilia,Crocodilia,Juvenile,Wild,2011,2011-now
A123 ,Chrysemys picta marginata,Testudines,Testudines,Adult,Wild,1963,1961-1970
A124,Chrysemys spp.,Testudines,Testudines,Adult,Wild,1964,1961-1970
A125,Chrysemys spp.,Testudines,Testudines,Adult,Not Given,1966,1961-1970
A126,Anolis carolinensis,Squamata,Squamata,Adult,Captive,2001,2001-2010
A128,Eremias argus ,Squamata,Squamata,Hatchlings,Captive,2014,2011-now
A130,Sceloporus undulatus,Squamata,Squamata,Adult,Wild,2010,2001-2010
A133,Crotaphytus collaris,Squamata,Squamata,Adult,Not Given,1965,1961-1970
A138,Chelonoidis carbonaria,Testudines,Testudines,Adult,Captive,2007,2001-2010
A139,Chelonoidis carbonaria,Testudines,Testudines,Adult,Captive,2009,2001-2010
A140,Chelonoidis carbonaria,Testudines,Testudines,Juvenile/Subadult,Not Given,2010,2001-2010
A141,Caiman crocodilus,Crocodilia,Crocodilia,Juvenile,Captive,1970,1961-1970
A142,Caiman crocodilus,Crocodilia,Crocodilia,Juvenile,Not Given,1967,1961-1970
A143,Caiman crocodilus,Crocodilia,Crocodilia,Juvenile,Captive,1968,1961-1970
A146,Trachemys scripta troostii,Testudines,Testudines,Adult,Captive,1964,1961-1970
A147,Sphenodon punctatus,Rhynchocephalia,Rhynchocephalia,Juvenile,Captive,2009,2001-2010
A148,Chrysemys picta,Testudines,Testudines,Adult,Not Given,2005,2001-2010
A149,Tupinambis teguixin,Squamata,Squamata,Juvenile,Not Given,1978,1971-1980
A149,Tupinambis teguixin,Squamata,Squamata,Juvenile,Not Given,1978,1971-1980
A152,Caiman crocodilus,Crocodilia,Crocodilia,Juvenile,Not Given,1971,1971-1980
A153,Chrysemys picta picta,Testudines,Testudines,Adult,Wild,1970,1961-1970
A154,Cnemidophorus tigris,Squamata,Squamata,Adult/Subadult,Wild,1969,1961-1970
A157,Chrysemys picta picta,Testudines,Testudines,NA,Not Given,1964,1961-1970
A158,Trachemys scripta elegans,Testudines,Testudines,Juvenile/Subadult,Captive,1962,1961-1970
A159,Thamnophis sirtalis,Squamata,Squamata,Adult,Wild,1973,1971-1980
A160,Chrysemys marginata,Testudines,Testudines,Adult,Not Given,1911,<1960
A161,Crotaphytus collaris,Squamata,Squamata,Adult,Captive,1970,1961-1970
A164,Trachemys scripta troostii,Testudines,Testudines,Juvenile,Captive,1961,1961-1970
A168 ,Plestiodon inexpectatus,Squamata,Squamata,Juvenile,Wild,1970,1961-1970
A169,Podocnemis unifilis,Testudines,Testudines,NA,Not Given,1973,1971-1980
A172,Clemmys insculpta,Testudines,Testudines,Adult,Not Given,1932,<1960
A176,Pseudemys nelsoni,Testudines,Testudines,Adult,Captive,2007,2001-2010
A177,Varanus komodoensis ,Squamata,Squamata,Adult,Captive,2007,2001-2010
A178,Coleonyx variegatus,Squamata,Squamata,Adult,Not Given,1979,1971-1980
A178,Coleonyx variegatus,Squamata,Squamata,Adult,Not Given,1979,1971-1980
A185,Caretta caretta caretta,Testudines,Testudines,Juvenile,Wild,1972,1971-1980
A186,Thamnophis radix,Squamata,Squamata,NA,Wild,1975,1971-1980
A187,Dipsosaurus dorsalis,Squamata,Squamata,Juvenile,Wild,1974,1971-1980
A188,Chrysemys picta picta,Testudines,Testudines,NA,Captive,1971,1971-1980
A190,Chrysemys picta picta,Testudines,Testudines,Juvenile,Not Given,1966,1961-1970
A192,Nerodia sipedon,Squamata,Squamata,Adults/Juveniles,Captive,1936,<1960
A193,Chrysemys picta picta,Testudines,Testudines,Adult,Wild,1963,1961-1970
A194,Dipsosaurus dorsalis,Squamata,Squamata,Adult,Not Given,1968,1961-1970
A197,Thamnopis sirtalis,Squamata,Squamata,Adult,Captive,1974,1971-1980
A205,Chrysemys spp.,Testudines,Testudines,Adult,Not Given,1964,1961-1970
A208,Caiman crocodilus,Crocodilia,Crocodilia,Juvenile,Not Given,1968,1961-1970
A209,Nerodia rhombifer,Squamata,Squamata,NA,Not Given,1940,<1960
A212 ,Trachemys scripta,Testudines,Testudines,Subadult,Not Given,2001,2001-2010
A213,Antaresia maculosa,Squamata,Squamata,Juvenile,Captive,2000,1991-2000
A214,Drymarchon corais,Squamata,Squamata,Adult,Not Given,1970,1961-1970
A218,Leiocephalus schreibersii,Squamata,Squamata,Adult,Wild,1991,1991-2000
A219,Anolis sagrei,Squamata,Squamata,Adult,Captive,1985,1981-1990
A221 ,Trachemys scripta elegans,Testudines,Testudines,Subadult,Not Given,1949,<1960
A225,Egernia striolata,Squamata,Squamata,Juvenile,Captive,2016,2011-now
A226,Scincella lateralis,Squamata,Squamata,Adult,Wild,2014,2011-now
A227,Anolis pulchellus,Squamata,Squamata,Adult,Wild,2012,2011-now
A227,Anolis evermanni,Squamata,NA,Adult,Wild,2012,2011-now
A227,Anolis cristatellus,Squamata,NA,Adult,Wild,2012,2011-now
A231,Ophisaurus apodus,Squamata,Squamata,Adult,Wild,1983,1981-1990
A232,Tiliqua rugosa,Squamata,Squamata,Adult,Wild,2000,1991-2000
A233,Dipsosaurus dorsalis,Squamata,Squamata,Juvenile,Not Given,1969,1961-1970
A235,Oedura lesueurii,Squamata,Squamata,Hatchlings,Captive,2017,2011-now
A239,Terrapene carolina,Testudines,Testudines,Adult,Captive,2013,2011-now
A240,Chelonoidis carbonaria,Testudines,Testudines,Subadult,Captive,2017,2011-now
A241,Chelonoidis carbonaria,Testudines,Testudines,Subadult,Captive,2013,2011-now
A243,Uta stansburiana,Squamata,Squamata,Subadult,Captive,2012,2011-now
A248,Mauremys reevesii,Testudines,Testudines,Juvenile,Captive,2000,1991-2000
A248,Mauremys reevesii,Testudines,NA,Juvenile,Captive,2000,1991-2000
A249,Chelonoidis carbonaria,Testudines,Testudines,Subadult,Not Given,2014,2011-now
A250,Anolis grahami,Squamata,Squamata,Adult,Not Given,1979,1971-1980
A250,Anolis grahami,Squamata,Squamata,Adult,Not Given,1979,1971-1980
A252,Podocnemis unifilis,Testudines,Testudines,NA,Not Given,1973,1971-1980
A253,Malpolon monspessulanus,Squamata,Squamata,Not Given,Not Given,1979,1971-1980
A253,Malpolon monspessulanus,Squamata,Squamata,NA,Not Given,1979,1971-1980
A255,Trachemys scripta elegans,Testudines,Testudines,Juvenile,Captive,1961,1961-1970
A256,Chrysemys picta picta,Testudines,Testudines,Adult,Wild,1962,1961-1970
A257,Podarcis sicula,Squamata,Squamata,Adult,Wild,2009,2001-2010
A258,Pantherophis spiloides,Squamata,Squamata,Adult,Not Given,1966,1961-1970
A259,Lampropholis delicata,Squamata,Squamata,Adult,Wild,2018,2011-now
A260,Eulamprus quoyii,Squamata,Squamata,Adult,Wild,2017,2011-now
A262,Liopholis whitii,Squamata,Squamata,Adult,Wild,2018,2011-now
A263,Podarcis sicula,Squamata,Squamata,Adult,Wild,2018,2011-now
A266,Egernia striolata,Squamata,Squamata,Juvenile,Captive,2018,2011-now
A266,Egernia striolata,Squamata,NA,Juvenile,Captive,2018,2011-now
A267,Pogona vitticeps,Squamata,Squamata,Adult,Captive,2017,2011-now
A269,Liopholis whitii,Squamata,Squamata,Juvenile,Captive,2018,2011-now
A270,Egernia striolata,Squamata,Squamata,Adult,Wild,2018,2011-now
A271,Lampropholis delicata,Squamata,Squamata,Adult,Wild,2017,2011-now